Tanggal,Komoditas,Harga,Sumber
2021-01-12,cabai_rawit_merah,77500.0,PIHPS
2021-01-12,daging_ayam_ras,41000.0,PIHPS
2021-01-12,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-12,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-12,gula_pasir_curah,13500.0,PIHPS
2021-01-12,gula_pasir_kemasan,15500.0,PIHPS
2021-01-12,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-12,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-12,telur_ayam_ras,27500.0,PIHPS
2021-01-13,bawang_merah,30000.0,PIHPS
2021-01-13,bawang_putih_honan,25000.0,PIHPS
2021-01-13,beras_medium,10000.0,PIHPS
2021-01-13,beras_premium,12000.0,PIHPS
2021-01-13,cabai_merah_besar,40000.0,PIHPS
2021-01-13,cabai_merah_keriting,55000.0,PIHPS
2021-01-13,cabai_rawit_merah,80000.0,PIHPS
2021-01-13,daging_ayam_ras,41000.0,PIHPS
2021-01-13,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-13,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-13,gula_pasir_curah,13500.0,PIHPS
2021-01-13,gula_pasir_kemasan,15500.0,PIHPS
2021-01-13,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-13,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-13,telur_ayam_ras,27500.0,PIHPS
2021-01-14,bawang_merah,32500.0,PIHPS
2021-01-14,bawang_putih_honan,25000.0,PIHPS
2021-01-14,beras_medium,10000.0,PIHPS
2021-01-14,beras_premium,12000.0,PIHPS
2021-01-14,cabai_merah_besar,40000.0,PIHPS
2021-01-14,cabai_merah_keriting,55000.0,PIHPS
2021-01-14,cabai_rawit_merah,77500.0,PIHPS
2021-01-14,daging_ayam_ras,39000.0,PIHPS
2021-01-14,daging_sapi_paha_belakang,120000.0,PIHPS
2021-01-14,daging_sapi_paha_depan,120000.0,PIHPS
2021-01-14,gula_pasir_curah,13500.0,PIHPS
2021-01-14,gula_pasir_kemasan,15500.0,PIHPS
2021-01-14,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-01-14,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-01-14,telur_ayam_ras,27500.0,PIHPS
2021-01-15,bawang_merah,32500.0,PIHPS
2021-01-15,bawang_putih_honan,27500.0,PIHPS
2021-01-15,beras_medium,10000.0,PIHPS
